,x,d1,d2,d3,d4,d5,w1,w2,w3,w4,w5,c1,c2,c3,c4,c5,c6,p,none_s,image_s,announce_s,image_sound_s,image_announce_s
781,782,7.641,-1.0415,6.1256,3.83577,5.50033,31.28929,21.08909,18.30743,16.5458,15.04459,17,9,24,42,25,12,4,14.8,22.0,21.0,22.3333,21.8667
782,783,8.1704,-1.2022,5.6153,3.27868,7.62212,32.75975,26.48732,13.71993,26.71355,15.00594,24,27,27,21,20,7,5,18.0,17.0,18.0,18.0,18.5333
783,784,9.2354,0.2334,2.8137,3.67139,4.09212,30.48163,21.1116,13.83007,15.27886,14.74818,17,24,23,22,18,16,3,8.6667,24.5333,28.6667,22.3333,30.0
784,785,4.2742,-1.4221,3.0956,3.86865,4.22119,24.59287,16.13566,14.51603,15.5269,10.36755,16,34,30,19,23,12,3,14.1333,17.2667,20.2667,18.6,20.8
785,786,7.1918,-1.8796,1.5575,2.5698,5.09043,28.05226,19.77736,7.2009,14.85329,13.99856,21,23,21,30,18,13,5,18.0,29.3333,29.6667,27.4667,29.6667
786,787,5.9673,-0.5746,1.7352,3.05656,4.64608,25.37681,18.45542,15.20345,16.44417,10.58599,21,20,27,26,20,11,3,17.4,24.2,21.3333,25.4667,23.0
787,788,5.9453,1.2328,3.0273,3.98376,6.05572,32.80829,23.92261,20.80211,19.97246,15.4205,16,17,25,22,18,12,4,17.0,23.3333,23.6667,22.6667,23.5333
788,789,9.607,-0.4345,3.001,6.01822,5.82581,31.83498,23.12201,13.4881,17.12637,14.35012,35,25,18,32,13,15,4,15.2,24.7333,26.5333,26.4,26.6
789,790,6.7761,-2.0426,3.67,2.6472,5.58436,23.68558,16.64941,12.64613,20.15784,9.42972,16,21,18,23,14,13,5,19.2,21.2667,23.8667,15.7333,17.3333
790,791,4.0589,1.1579,3.2375,4.2629,6.45476,24.12354,17.07318,15.49572,16.60862,11.03315,15,21,27,40,15,7,3,15.2667,20.3333,19.6667,23.0,23.3333
791,792,6.65,0.3018,3.5369,2.32521,3.41321,33.18165,22.34349,22.71554,18.25494,16.52204,21,22,19,25,16,6,3,19.0,17.6,17.8667,20.9333,18.5333
792,793,9.2726,-1.031,5.1839,2.65473,5.91891,30.07568,25.29195,17.398,20.96705,15.52946,23,23,22,34,10,11,5,11.3333,20.3333,21.4,25.4,28.0
793,794,9.3002,0.5601,7.0108,3.22671,5.65937,41.87431,25.56138,21.83937,25.18631,17.12517,29,23,17,27,14,11,4,30.0,29.2,26.0,30.0,30.0
794,795,5.4807,0.5821,4.9548,2.95259,4.34303,31.49191,19.52468,13.36494,13.34895,13.08216,22,23,26,25,25,23,5,17.8,17.7333,21.6,15.5333,19.2667
795,796,9.1437,-0.5974,3.1783,4.19444,5.50167,25.15094,13.95657,14.75959,15.76712,11.73435,18,29,35,20,26,13,4,14.0,26.7333,23.6667,24.5333,24.6
796,797,7.0463,-1.1722,4.3281,2.71297,7.12817,20.17931,10.61594,10.69781,8.36414,10.69241,22,27,26,31,21,13,5,12.8667,14.1333,23.2,12.2667,21.0
797,798,8.5748,-1.1702,4.7669,4.87733,7.84963,27.71802,19.01448,16.56406,16.81861,12.86248,26,34,30,14,14,10,5,13.8667,19.0667,23.2,20.1333,24.0
798,799,10.2154,-1.1652,5.1767,2.77794,4.07748,21.64954,14.42384,14.39132,14.72991,11.0891,16,19,36,13,21,29,2,17.8,16.9333,16.5333,17.2,17.2667
799,800,7.5822,0.1201,6.5722,3.32963,4.75933,22.04394,17.21857,11.89841,14.83118,10.16673,22,27,33,19,18,11,4,12.0,25.8,27.0,27.0,27.0
800,801,5.6149,-0.7314,1.6795,3.74132,5.60217,29.58012,15.73032,14.89273,16.04473,10.39065,18,20,33,18,24,10,4,14.8,24.3333,25.6667,22.6667,24.2
801,802,6.0455,2.0958,3.8635,4.97563,5.6927,28.18144,19.7443,19.20815,16.45026,12.30557,21,30,14,16,11,21,2,20.2667,19.4,21.2,21.2,21.2
802,803,8.6738,-0.4216,1.4291,4.27503,5.49286,31.06191,21.50243,19.40287,18.43385,14.9727,15,24,28,26,17,6,4,11.0667,27.6667,25.4667,24.1333,26.0
803,804,3.5565,-0.038,3.4472,2.81113,3.50357,30.25131,18.98164,19.62766,17.88559,13.44785,29,34,22,16,22,10,3,12.0,21.6,25.5333,25.4,25.0667
