,0,1,2,3,4
218,2.2,3.25,4.6,3.2,4.25
219,3.0,3.1,3.05,3.1,3.55
220,2.0,3.9,4.2,4.3,4.1
221,1.4,2.75,3.45,2.4,4.25
222,3.0,3.0,3.0,3.0,3.0
223,2.0,3.9,4.45,3.4,4.05
224,1.8,2.5,3.6,1.6,4.0
225,1.5,3.35,4.25,2.45,3.8
226,1.6,3.85,3.05,2.4,3.95
227,1.6,3.95,3.8,4.05,3.75
228,2.5,3.5,3.15,3.45,3.75
229,3.05,3.0,3.15,3.0,3.0
230,3.8,4.25,3.25,3.8,3.2
231,2.0,4.15,3.7,4.2,3.85
232,3.0,4.1,4.25,4.2,4.4
233,3.3,3.3,3.3,3.3,3.3
234,2.4,2.95,3.2,2.95,3.05
235,2.4,3.3,3.3,2.4,3.3
236,1.4,3.1,3.65,2.9,3.4
237,2.4,4.2,4.55,3.8,3.75
238,3.05,3.05,3.15,3.25,3.05
239,3.45,3.45,3.5,3.4,3.25
240,1.7,3.65,3.7,3.5,3.7
241,3.45,3.6,4.05,2.8,4.3
242,2.2,3.0,3.15,2.4,3.15
243,3.45,3.8,4.2,4.05,4.15
244,2.4,3.5,3.65,3.6,3.9
245,3.95,4.05,4.4,4.35,4.5
246,1.4,2.9,4.6,1.65,4.65
247,3.0,3.25,3.1,3.4,3.6
248,2.4,3.0,3.0,2.9,2.95
249,3.1,3.95,3.75,3.7,3.6
250,2.0,4.6,4.6,4.6,4.2
251,3.0,3.2,3.65,3.35,3.65
252,2.05,3.6,3.65,3.3,3.65
253,2.8,3.85,3.8,3.5,4.3
254,3.0,3.0,3.0,3.0,3.1
255,3.0,3.0,3.0,3.0,3.0
256,3.0,3.0,3.0,3.0,3.0
257,2.1,2.95,2.7,2.95,3.15
258,2.4,3.95,4.65,4.6,4.75
259,3.0,3.0,3.0,3.0,3.0
260,2.0,3.7,3.65,3.0,3.95
261,2.4,2.05,2.55,2.65,2.4
262,3.0,3.0,3.0,3.0,3.0
263,3.0,3.0,3.0,3.0,3.0
264,2.1,3.1,3.3,3.25,3.35
265,3.0,3.15,3.8,3.4,3.7
266,2.0,4.35,3.3,3.7,3.45
267,2.75,2.95,2.95,2.9,3.05
268,1.4,2.25,4.0,3.35,3.8
269,3.0,3.5,3.35,3.2,3.1
270,1.5,4.2,4.3,4.4,4.3
271,1.75,4.05,3.65,3.5,4.1
272,2.0,3.75,2.6,3.55,2.55
273,2.05,2.95,3.15,2.95,3.25
274,2.65,2.75,2.8,3.2,2.7
275,2.85,3.0,4.0,2.85,4.4
276,2.4,4.6,4.6,4.6,4.5
277,3.25,2.7,3.0,2.95,3.3
278,3.6,3.6,3.7,3.6,3.6
279,1.9,3.35,3.1,3.4,3.8
280,1.6,3.15,3.3,2.75,3.7
281,3.0,3.05,2.7,3.0,3.35
282,1.5,2.85,3.3,2.6,3.45
283,2.45,3.1,3.6,3.2,4.25
284,2.2,3.75,3.15,3.65,3.15
285,1.8,4.05,4.0,3.65,4.35
286,3.0,3.05,3.05,3.05,3.3
287,2.3,3.3,3.2,3.3,3.5
288,3.05,3.0,3.2,2.55,3.05
289,1.55,2.95,2.7,2.95,3.0
290,3.0,2.55,3.75,3.55,3.9
291,2.0,4.15,3.95,4.05,4.2
292,3.0,3.0,3.0,2.95,3.15
293,3.7,3.85,3.5,3.85,3.4
294,2.5,2.65,2.4,2.7,3.05
295,2.4,3.75,3.85,3.8,4.2
296,2.8,3.05,3.25,2.7,3.5
297,2.0,4.45,3.6,4.3,4.45
298,1.7,3.15,3.55,3.6,3.15
299,2.4,3.1,3.05,3.0,3.05
300,3.0,3.0,3.0,3.0,2.95
301,1.9,2.7,3.15,2.9,2.75
302,2.6,3.85,4.05,3.0,3.35
303,3.0,3.0,3.0,3.0,3.0
304,3.05,3.95,3.8,3.85,3.7
305,2.4,3.95,4.25,4.0,4.0
306,2.1,3.0,4.05,3.1,4.2
307,2.4,4.4,4.4,4.35,4.2
308,2.0,3.6,3.95,3.85,3.85
309,3.0,3.65,4.05,4.1,4.3
310,3.0,3.0,3.0,3.0,3.0
311,2.65,4.55,3.7,4.4,3.8
312,2.4,3.95,4.1,4.0,4.15
313,3.0,3.0,3.0,3.0,3.0
